,pactivity_value,uniprot_id,canonical_smiles
48486,8.602059991327963,P36888,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C
19112,7.716698771296451,Q16539,Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccnc(Oc3ccccc3)n2)cc1
19247,7.720105019988362,Q16539,Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccnc(Oc3ccccc3)n2)cc1
17744,4.698970004336019,O60885,Cc1cccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1C
17752,5.6020599913279625,O60885,Cc1cccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1C
17750,7.818156412055227,Q16539,Cc1cccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1C
17751,7.8198741248359465,Q16539,Cc1cccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1C
44620,7.721246399047171,Q16539,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1
44636,7.698970004336019,Q16539,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1
52003,7.728158393463501,Q16539,COc1cccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1
53509,7.700057099977233,Q16539,COc1cccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1
38480,7.97061622231479,Q16539,Cc1ccc(C)c(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1
38481,7.969805214643249,Q16539,Cc1ccc(C)c(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1
7751,7.665546248849069,Q16539,Cc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1C
7752,7.659952682338607,Q16539,Cc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1C
64238,5.920818753952375,P24941,Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21
64239,5.154901959985743,P24941,Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21
64240,5.154901959985743,P24941,Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21
64242,5.154901959985743,P24941,Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21
64243,5.154901959985743,P24941,Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21
66505,5.301029995663981,P24941,Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21
64244,6.431798275933005,P24941,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
64246,6.301029995663981,P24941,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
64248,6.154901959985743,P24941,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
64250,6.657577319177793,P24941,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
64621,7.0,P24941,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
65480,6.154901959985743,P24941,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
66496,6.3979400086720375,P24941,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
66501,6.6777807052660805,P24941,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
64245,6.795880017344075,Q00535,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
64249,6.795880017344075,Q00535,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
64251,6.698970004336019,Q00535,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
64252,6.795880017344075,Q00535,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
66504,6.698970004336019,Q00535,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
53533,5.119186407719209,P00533,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1
53535,4.657577319177793,P00533,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1
55228,5.337242168318426,P00533,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1
53539,7.522878745280337,P06493,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1
53543,7.522878745280337,P06493,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1
53544,7.522878745280337,P06493,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1
53548,7.522878745280337,P06493,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1
55055,7.522878745280337,P06493,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1
55223,7.0,P06493,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1
53537,7.0,P11802,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1
53540,7.0,P11802,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1
53546,7.0,P11802,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1
53550,7.0,P11802,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1
55054,7.0,P11802,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1
55056,7.0,P11802,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1
55225,6.3979400086720375,P11802,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1
54672,5.552841968657781,P17252,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1
55226,4.638272163982407,P17252,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1
53538,6.769551078621726,P24941,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1
53541,6.769551078621726,P24941,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1
53545,6.769551078621726,P24941,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1
53549,6.769551078621726,P24941,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1
55224,6.657577319177793,P24941,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1
64623,6.619951649263075,P00533,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
64624,7.823908740944319,P00533,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
64625,8.698970004336019,P00533,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
64626,8.920818753952375,P00533,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
64666,8.0,P00533,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
64739,7.167491087293763,P00533,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
64773,9.221848749616356,P00533,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
64774,7.522878745280337,P00533,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
64788,7.958607314841775,P00533,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
64789,7.958607314841775,P00533,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
64790,8.698970004336019,P00533,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
64791,7.096910013008056,P00533,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
64792,7.096910013008056,P00533,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
